kode_billing,tgl_billing,expired_billing,status,kd_kantor,dokumen,no_dok,tgl_dok,total_pungutan,total_dibayar,tgl_bayar,bank
620220200223119,2022-02-22,2022-04-22,Kirim Billing,040600,17,EB760523264CN20220221,2022-02-22,66000,0,NA,NA
620220200275228,2022-02-26,2022-04-26,Kirim Billing,040600,17,RP814962306SG20220224,2022-02-26,914000,0,NA,NA
620220200135379,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,LP223662569SG20220211,2022-02-14,24000,24000,2022-02-23,POS INDONESIA
620220200131384,2022-02-13,2022-04-13,Tunggu Rekon CEISA,040600,17,UQ101644398GB20220204,2022-02-13,142000,142000,2022-02-16,POS INDONESIA
620220200184817,2022-02-17,2022-04-17,Tunggu Rekon CEISA,040600,17,EN158140485JP20220216,2022-02-17,56000,56000,2022-02-22,POS INDONESIA
620220200189689,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,UV468768463UZ20220216,2022-02-18,2000,2000,2022-02-25,POS INDONESIA
620220200154735,2022-02-15,2022-04-15,Tunggu Rekon CEISA,040600,17,LP224025753SG20220214,2022-02-15,21000,21000,2022-02-24,POS INDONESIA
620220200218198,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LP224611170SG20220219,2022-02-21,119000,119000,2022-02-24,POS INDONESIA
620220200138965,2022-02-14,2022-04-14,Tunggu Rekon CEISA,040600,17,LP223707937SG20220213,2022-02-14,3000,3000,2022-02-15,PT. TOKOPEDIA
620220200233105,2022-02-22,2022-04-22,Tunggu Rekon CEISA,040600,17,UQ294652065SG20220221,2022-02-22,2000,2000,2022-02-26,POS INDONESIA
620220200248141,2022-02-24,2022-04-24,Kirim Billing,040600,17,CH156985493US20220223,2022-02-24,332000,0,NA,NA
620220200190160,2022-02-18,2022-04-18,Tunggu Rekon CEISA,040600,17,UV490826212UZ20220215,2022-02-18,3000,3000,2022-02-24,POS INDONESIA
620220200126038,2022-02-12,2022-04-12,Tunggu Rekon CEISA,040600,17,UQ289289745SG20220131,2022-02-12,2000,2000,2022-02-15,POS INDONESIA
620220200218814,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LV420776721CN20220219,2022-02-21,200000,200000,2022-03-01,POS INDONESIA
620220200213757,2022-02-21,2022-04-21,Kirim Billing,040600,17,LP224444004SG20220219,2022-02-21,26000,0,NA,NA
620220200218117,2022-02-21,2022-04-21,Tunggu Rekon CEISA,040600,17,LP223995544SG20220217,2022-02-21,161000,161000,2022-02-24,POS INDONESIA
620220200078983,2022-02-08,2022-04-08,Tunggu Rekon CEISA,040600,17,EB042456839KR20220131,2022-02-08,623000,623000,2022-02-16,POS INDONESIA
620220200175187,2022-02-16,2022-04-16,Tunggu Rekon CEISA,040600,17,LP589943656MY20220214,2022-02-16,58000,58000,2022-02-25,POS INDONESIA
620220200092506,2022-02-09,2022-04-09,Tunggu Rekon CEISA,040600,17,LV412786695CN20220208,2022-02-09,27000,27000,2022-02-17,POS INDONESIA
620220200171486,2022-02-16,2022-04-16,Tunggu Rekon CEISA,040600,17,EN155812602JP20220210,2022-02-16,46000,46000,2022-02-21,POS INDONESIA
